"","Female_ID","Depth","Nest_ID","hatchling_ID"
"1","SLM155","Shallow",59,"59-16D"
"2","SLM155","Shallow",59,"59-26D"
"3","SLM155","Shallow",59,"59-7D"
"21","SLM155","Deep",60,"60-1D"
"22","SLM155","Deep",60,"60-5D"
"31","SLM158","Shallow",61,"61-4D"
"32","SLM158","Shallow",61,"61-6D"
"4","SLM158","Deep",62,"62-1D"
"41","SLM158","Deep",62,"62-5D"
"5","SLM159","Shallow",63,"63-7D"
"6","SLM159","Deep",64,"64-1D"
"9","SLM091","Shallow",67,"67-4D"
"91","SLM091","Shallow",67,"67-6D"
"10","SLM091","Deep",68,"68-3D"
"101","SLM091","Deep",68,"68-5D"
"13","SLM140","Shallow",71,"71-2D"
"14","SLM140","Deep",72,"72-7D"
